title,popularity,danceability,energy,loudness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
We Don't Care,66,0.595,0.754,-5.827,0.0142,0.0,0.247,0.647,83.155,239880,4
All Falls Down,80,0.657,0.734,-4.832,0.149,0.0,0.139,0.434,91.03,223507,4
I'll Fly Away,55,0.239,0.25,-11.414,0.76,0.0,0.124,0.564,172.338,69707,4
Spaceship,66,0.507,0.753,-5.31,0.503,0.0,0.573,0.657,178.068,324227,3
Jesus Walks,72,0.637,0.834,-4.686,0.614,0.0,0.317,0.715,87.312,193733,4
Never Let Me Down,63,0.459,0.816,-4.872,0.423,0.0,0.169,0.643,80.293,324440,4
Get Em High,60,0.614,0.644,-5.672,0.184,0.0,0.489,0.649,84.788,289493,4
Workout Plan,52,0.715,0.288,-13.843,0.785,0.0,0.688,0.772,115.114,46173,4
The New Workout Plan,63,0.704,0.792,-4.831,0.00981,0.0,0.365,0.646,118.022,322800,4
Slow Jamz,72,0.559,0.733,-5.659,0.314,0.0,0.284,0.611,145.115,316053,4
Breathe In Breathe Out,58,0.636,0.7,-3.099,0.341,0.0,0.161,0.924,88.817,246933,4
School Spirit,57,0.483,0.787,-5.422,0.339,0.0,0.236,0.592,84.81,182387,4
Two Words,62,0.442,0.807,-4.753,0.0158,6.43e-06,0.217,0.446,84.649,266213,4
Through The Wire,76,0.571,0.739,-6.11,0.00865,5.21e-06,0.158,0.66,83.089,221227,4
Family Business,66,0.744,0.524,-7.452,0.139,0.0,0.392,0.606,93.691,278893,4
Last Call,60,0.473,0.727,-6.843,0.577,0.0,0.316,0.854,83.212,760973,4
Heard 'Em Say,65,0.744,0.696,-8.313,0.0535,0.0454,0.128,0.563,95.07,203733,4
Touch The Sky,73,0.552,0.846,-4.912,0.0114,0.0,0.309,0.554,98.56,236600,1
Gold Digger,80,0.629,0.696,-5.572,0.0195,0.0,0.0554,0.623,93.034,207627,4
Drive Slow,60,0.593,0.593,-8.216,0.0306,9.94e-06,0.229,0.488,81.291,272227,1
My Way Home,53,0.593,0.596,-10.488,0.33,0.0,0.0976,0.776,86.965,103373,4
Crack Music,54,0.726,0.712,-6.288,0.00975,0.000477,0.345,0.554,168.121,270867,5
Roses,60,0.723,0.465,-6.454,0.259,2.7e-05,0.108,0.513,97.702,245867,4
Bring Me Down,53,0.385,0.691,-6.919,0.00592,0.0,0.595,0.352,111.278,198973,5
Addiction,57,0.504,0.756,-8.318,0.184,0.0,0.252,0.55,115.264,267067,4
Diamonds From Sierra Leone - Remix,61,0.672,0.814,-3.768,0.258,0.0,0.164,0.379,97.043,233400,4
We Major,61,0.234,0.88,-3.66,0.0107,0.0,0.045,0.216,85.641,448000,4
Hey Mama,63,0.583,0.754,-6.993,0.0593,0.0,0.113,0.347,95.784,305067,4
Celebration,53,0.295,0.776,-4.199,0.0164,1.41e-06,0.118,0.35,79.992,198440,4
Gone,58,0.842,0.668,-6.043,0.015,0.0,0.0699,0.345,92.703,333293,4
Late,56,0.334,0.843,-5.928,0.197,3.95e-06,0.295,0.616,75.281,230493,4
Say You Will,57,0.603,0.401,-10.155,0.542,0.225,0.103,0.347,172.633,377600,4
Welcome To Heartbreak,62,0.677,0.435,-11.024,0.0985,0.721,0.111,0.0729,95.991,262933,4
Heartless,83,0.79,0.647,-5.983,0.0515,0.0,0.248,0.654,87.999,211000,4
Amazing,65,0.588,0.554,-8.406,0.216,0.118,0.0619,0.496,146.133,238333,4
Love Lockdown,67,0.76,0.524,-7.67,0.0542,0.5,0.112,0.112,119.603,270307,4
Paranoid,64,0.587,0.611,-7.408,0.114,9.83e-05,0.0765,0.464,114.991,277907,4
RoboCop,57,0.698,0.447,-8.04,0.157,0.00564,0.405,0.407,133.776,274360,4
Street Lights,63,0.644,0.487,-9.654,0.0287,0.0166,0.206,0.467,125.528,189907,4
Bad News,56,0.749,0.436,-11.99,0.0288,0.201,0.114,0.167,106.171,238773,4
See You In My Nightmares,56,0.676,0.432,-8.035,0.0626,0.0,0.103,0.156,124.597,258120,4
Coldest Winter,58,0.761,0.516,-10.229,0.171,3.21e-06,0.265,0.562,133.999,164333,4
Pinocchio Story,50,0.341,0.281,-13.204,0.95,0.0,0.948,0.306,74.997,361600,4
Good Morning,20,0.48,0.631,-5.488,0.0791,0.000105,0.149,0.515,84.164,195093,4
Champion,16,0.693,0.504,-8.306,0.00299,0.0,0.695,0.723,102.139,167600,4
Stronger,31,0.617,0.717,-7.858,0.00564,0.0,0.408,0.49,103.992,311867,4
I Wonder,25,0.542,0.466,-8.665,0.141,0.000445,0.125,0.124,191.385,243440,4
Good Life,23,0.439,0.808,-6.881,0.00305,0.0,0.439,0.487,82.962,207000,4
Can't Tell Me Nothing,24,0.596,0.62,-6.133,0.0122,0.0,0.82,0.102,80.029,271600,4
Barry Bonds,8,0.48,0.624,-6.131,0.0451,0.0,0.337,0.704,165.057,204307,4
Drunk and Hot Girls,8,0.661,0.442,-7.297,0.0697,1.15e-05,0.136,0.299,82.758,313227,3
Flashing Lights,29,0.639,0.628,-7.578,0.0381,0.0,0.386,0.43,90.482,237507,4
Everything I Am,15,0.631,0.623,-6.969,0.463,1.7e-06,0.151,0.765,80.23,227893,4
The Glory,9,0.423,0.643,-7.261,0.0455,0.0,0.172,0.708,84.336,212707,4
Homecoming,24,0.667,0.747,-7.059,0.337,0.0,0.115,0.918,86.917,203493,4
Big Brother,9,0.498,0.742,-6.248,0.214,0.0,0.0641,0.302,78.428,287573,4
Dark Fantasy,69,0.599,0.587,-5.919,0.274,0.0,0.167,0.373,87.998,280787,4
Gorgeous,71,0.598,0.713,-3.625,0.0207,0.000175,0.431,0.118,91.964,357653,4
POWER,78,0.542,0.914,-4.747,0.0161,0.0,0.744,0.576,153.993,292093,4
All Of The Lights (Interlude),59,0.296,0.0792,-16.569,0.902,0.591,0.128,0.496,110.95,62253,3
All Of The Lights,76,0.531,0.803,-3.284,0.0796,1.71e-05,0.176,0.221,142.113,299613,4
Monster,72,0.628,0.692,-5.64,0.00244,0.0129,0.668,0.0963,124.887,378893,5
So Appalled,61,0.64,0.754,-5.873,0.255,0.0,0.63,0.584,87.15,397667,4
Devil In A New Dress,79,0.435,0.76,-4.935,0.0175,0.0,0.158,0.206,80.082,351947,4
Runaway,78,0.374,0.568,-3.825,0.219,0.00219,0.513,0.111,84.733,547733,4
Hell Of A Life,63,0.449,0.813,-5.478,0.00142,0.000172,0.106,0.452,177.962,327787,4
Blame Game,61,0.419,0.581,-5.964,0.306,6.3e-05,0.11,0.636,80.305,469867,1
Lost In The World,64,0.608,0.746,-5.249,0.115,0.0087,0.427,0.277,117.072,256587,4
Who Will Survive In America,54,0.677,0.842,-6.111,0.228,0.000684,0.856,0.595,116.166,98200,4
No Church In The Wild,71,0.654,0.75,-7.509,0.246,0.0178,0.167,0.557,92.78,272507,4
Lift Off,59,0.404,0.784,-7.584,0.188,0.00178,0.165,0.289,179.439,266253,3
Ni**as In Paris,84,0.789,0.858,-5.542,0.127,0.0,0.349,0.775,140.022,219333,4
