date,name,author,description,image
"September 11, 2022",IT ENDS WITH US,Colleen Hoover,A battered wife raised in a violent home attempts to halt the cycle of abuse.,https://storage.googleapis.com/du-prd/books/images/9781501110375.jpg
"September 11, 2022",VERITY,Colleen Hoover,Lowen Ashleigh is hired by the husband of an injured writer to complete her popular series and uncovers a horrifying truth.,https://storage.googleapis.com/du-prd/books/images/9781791392796.jpg
"September 11, 2022",WHERE THE CRAWDADS SING,Delia Owens,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",https://storage.googleapis.com/du-prd/books/images/9780735219090.jpg
"September 11, 2022",LOVE ON THE BRAIN,Ali Hazelwood,Heartbeats quicken and neurons fire when a pair of antagonistic scientists work together on a project.,https://storage.googleapis.com/du-prd/books/images/9780593336847.jpg
"September 11, 2022",SOUL TAKEN,Patricia Briggs,The 13th book in the Mercy Thompson series. The disappearance of the vampire Wulfe and others might indicate the return of the Harvester.,https://storage.googleapis.com/du-prd/books/images/9780440001614.jpg
"September 11, 2022",UGLY LOVE,Colleen Hoover,"Tate Collins and Miles Archer, an airline pilot, think they can handle a no strings attached arrangement. But they can't.",https://storage.googleapis.com/du-prd/books/images/9781476753195.jpg
"September 11, 2022",NOVEMBER 9,Colleen Hoover,Is Ben using his relationship with Fallon as fodder for his novel?,https://storage.googleapis.com/du-prd/books/images/9781501110351.jpg
"September 11, 2022",THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,A movie icon recounts stories of her loves and career to a struggling magazine writer.,https://storage.googleapis.com/du-prd/books/images/9781501161933.jpg
"September 11, 2022","GIRL, FORGOTTEN",Karin Slaughter,U.S. Marshal Andrea Oliver goes to Longbill Beach to protect a judge and winds up investigating a cold case from 1982.,https://storage.googleapis.com/du-prd/books/images/9780062858115.jpg
"September 11, 2022",FOX CREEK,William Kent Krueger,The 19th book in the Cork O’Connor mystery series. Cork uses his skills as a hunter to track mercenaries and confronts his own self-doubt.,https://storage.googleapis.com/du-prd/books/images/9781982128715.jpg
"September 11, 2022",FIRE AND BLOOD,George R.R. Martin,"Set 300 years before the events of “A Game of Thrones,” this is the first volume of the two-part history of the Targaryens in Westeros.",https://storage.googleapis.com/du-prd/books/images/9781524796280.jpg
"September 11, 2022",RUBY FEVER,Ilona Andrews,The sixth book in the Hidden Legacy series.,https://storage.googleapis.com/du-prd/books/images/9780062878403.jpg
"September 11, 2022",ALL GOOD PEOPLE HERE,Ashley Flowers with Alex Kiester,A journalist who returns to her hometown vows to find a missing girl and solve a 20-year-old cold case.,https://storage.googleapis.com/du-prd/books/images/9780593496473.jpg
"September 11, 2022",THE 6:20 MAN,David Baldacci,"When his ex-girlfriend turns up dead in his office building, an entry-level investment analyst delves into the halls of economic power.",https://storage.googleapis.com/du-prd/books/images/9781538719848.jpg
"September 11, 2022",BABEL,R.F. Kuang,"In 1828, Robin Swift studies at Oxford University’s Royal Institute of Translation and faces a choice when Britain pursues a war with China.",https://storage.googleapis.com/du-prd/books/images/9780063021426.jpg
"September 4, 2022",WHERE THE CRAWDADS SING,Delia Owens,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",https://storage.googleapis.com/du-prd/books/images/9780735219090.jpg
"September 4, 2022",IT ENDS WITH US,Colleen Hoover,A battered wife raised in a violent home attempts to halt the cycle of abuse.,https://storage.googleapis.com/du-prd/books/images/9781501110375.jpg
"September 4, 2022",VERITY,Colleen Hoover,Lowen Ashleigh is hired by the husband of an injured writer to complete her popular series and uncovers a horrifying truth.,https://storage.googleapis.com/du-prd/books/images/9781791392796.jpg
"September 4, 2022",UGLY LOVE,Colleen Hoover,"Tate Collins and Miles Archer, an airline pilot, think they can handle a no strings attached arrangement. But they can't.",https://storage.googleapis.com/du-prd/books/images/9781476753195.jpg
"September 4, 2022",ALL GOOD PEOPLE HERE,Ashley Flowers with Alex Kiester,A journalist who returns to her hometown vows to find a missing girl and solve a 20-year-old cold case.,https://storage.googleapis.com/du-prd/books/images/9780593496473.jpg
"September 4, 2022",THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,A movie icon recounts stories of her loves and career to a struggling magazine writer.,https://storage.googleapis.com/du-prd/books/images/9781501161933.jpg
"September 4, 2022",NOVEMBER 9,Colleen Hoover,Is Ben using his relationship with Fallon as fodder for his novel?,https://storage.googleapis.com/du-prd/books/images/9781501110351.jpg
"September 4, 2022",THE CHALLENGE,Danielle Steel,Parents of children who have gone missing on a dangerous peak in Montana form a search-and-rescue mission.,https://storage.googleapis.com/du-prd/books/images/9781984821614.jpg
"September 4, 2022",OVERKILL,Sandra Brown,"A former football star falls for a state prosecutor at the same time he must decide whether to kill his ex-wife, who is on life support, to ensnare her attacker.",https://storage.googleapis.com/du-prd/books/images/9781538752012.jpg
"September 4, 2022",ALL YOUR PERFECTS,Colleen Hoover,Quinn and Graham’s marriage depends on past promises.,https://storage.googleapis.com/du-prd/books/images/9781501171604.jpg
"September 4, 2022",BOOK LOVERS,Emily Henry,"While on vacation in North Carolina, a literary agent keeps running into an editor.",https://storage.googleapis.com/du-prd/books/images/9780593334836.jpg
"September 4, 2022",THE 6:20 MAN,David Baldacci,"When his ex-girlfriend turns up dead in his office building, an entry-level investment analyst delves into the halls of economic power.",https://storage.googleapis.com/du-prd/books/images/9781538719848.jpg
"September 4, 2022",CONFESS,Colleen Hoover,A young woman finds herself attracted to an artist with a secret.,https://storage.googleapis.com/du-prd/books/images/9781476791463.jpg
"September 4, 2022",PEOPLE WE MEET ON VACATION,Emily Henry,Opposites Poppy and Alex meet to vacation together one more time in hopes of saving their relationship.,https://storage.googleapis.com/du-prd/books/images/9781984806758.jpg
"September 4, 2022",MAYBE SOMEDAY,Colleen Hoover,"Sydney, a college student, is fascinated by her mysterious next-door neighbor, Ridge.",https://storage.googleapis.com/du-prd/books/images/9781476753171.jpg
